id,date,deaths,highlight
AGO,2020-10-20,251,FALSE
AGO,2020-10-21,255,FALSE
AGO,2020-10-22,260,FALSE
AGO,2020-10-23,265,FALSE
AGO,2020-10-24,267,FALSE
AGO,2020-10-25,268,FALSE
AGO,2020-10-26,270,FALSE
AGO,2020-10-27,271,FALSE
ALB,2020-01-22,NA,FALSE
ALB,2020-01-23,NA,FALSE
ALB,2020-01-24,NA,FALSE
ALB,2020-01-25,NA,FALSE
ALB,2020-01-26,NA,FALSE
ALB,2020-01-27,NA,FALSE
ALB,2020-01-28,NA,FALSE
ALB,2020-01-29,NA,FALSE
ALB,2020-01-30,NA,FALSE
ALB,2020-01-31,NA,FALSE
ALB,2020-02-01,NA,FALSE
ALB,2020-02-02,NA,FALSE
ALB,2020-02-03,NA,FALSE
ALB,2020-02-04,NA,FALSE
ALB,2020-02-05,NA,FALSE
ALB,2020-02-06,NA,FALSE
ALB,2020-02-07,NA,FALSE
ALB,2020-02-08,NA,FALSE
ALB,2020-02-09,NA,FALSE
ALB,2020-02-10,NA,FALSE
ALB,2020-02-11,NA,FALSE
ALB,2020-02-12,NA,FALSE
ALB,2020-02-13,NA,FALSE
ALB,2020-02-14,NA,FALSE
ALB,2020-02-15,NA,FALSE
ALB,2020-02-16,NA,FALSE
ALB,2020-02-17,NA,FALSE
ALB,2020-02-18,NA,FALSE
ALB,2020-02-19,NA,FALSE
ALB,2020-02-20,NA,FALSE
ALB,2020-02-21,NA,FALSE
ALB,2020-02-22,NA,FALSE
ALB,2020-02-23,NA,FALSE
ALB,2020-02-24,NA,FALSE
ALB,2020-02-25,NA,FALSE
ALB,2020-02-26,NA,FALSE
ALB,2020-02-27,NA,FALSE
ALB,2020-02-28,NA,FALSE
ALB,2020-02-29,NA,FALSE
ALB,2020-03-01,NA,FALSE
ALB,2020-03-02,NA,FALSE
ALB,2020-03-03,NA,FALSE
ALB,2020-03-04,NA,FALSE
ALB,2020-03-05,NA,FALSE
ALB,2020-03-06,NA,FALSE
ALB,2020-03-07,NA,FALSE
ALB,2020-03-08,NA,FALSE
ALB,2020-03-09,NA,FALSE
ALB,2020-03-10,NA,FALSE
ALB,2020-03-11,1,FALSE
ALB,2020-03-12,1,FALSE
ALB,2020-03-13,1,FALSE
ALB,2020-03-14,1,FALSE
ALB,2020-03-15,1,FALSE
ALB,2020-03-16,1,FALSE
ALB,2020-03-17,1,FALSE
ALB,2020-03-18,2,FALSE
ALB,2020-03-19,2,FALSE
ALB,2020-03-20,2,FALSE
ALB,2020-03-21,2,FALSE
ALB,2020-03-22,2,FALSE
ALB,2020-03-23,4,FALSE
ALB,2020-03-24,5,FALSE
ALB,2020-03-25,5,FALSE
ALB,2020-03-26,6,FALSE
ALB,2020-03-27,8,FALSE
ALB,2020-03-28,10,FALSE
ALB,2020-03-29,10,FALSE
ALB,2020-03-30,11,FALSE
ALB,2020-03-31,15,FALSE
ALB,2020-04-01,15,FALSE
ALB,2020-04-02,16,FALSE
ALB,2020-04-03,17,FALSE
ALB,2020-04-04,20,FALSE
ALB,2020-04-05,20,FALSE
ALB,2020-04-06,21,FALSE
ALB,2020-04-07,22,FALSE
ALB,2020-04-08,22,FALSE
ALB,2020-04-09,23,FALSE
ALB,2020-04-10,23,FALSE
ALB,2020-04-11,23,FALSE
ALB,2020-04-12,23,FALSE
ALB,2020-04-13,23,FALSE
ALB,2020-04-14,24,FALSE
ALB,2020-04-15,25,FALSE
ALB,2020-04-16,26,FALSE
ALB,2020-04-17,26,FALSE
ALB,2020-04-18,26,FALSE
ALB,2020-04-19,26,FALSE
ALB,2020-04-20,26,FALSE
ALB,2020-04-21,26,FALSE
ALB,2020-04-22,27,FALSE
ALB,2020-04-23,27,FALSE
ALB,2020-04-24,27,FALSE
ALB,2020-04-25,27,FALSE
ALB,2020-04-26,28,FALSE
ALB,2020-04-27,28,FALSE
ALB,2020-04-28,30,FALSE
ALB,2020-04-29,30,FALSE
ALB,2020-04-30,31,FALSE
ALB,2020-05-01,31,FALSE
ALB,2020-05-02,31,FALSE
ALB,2020-05-03,31,FALSE
ALB,2020-05-04,31,FALSE
ALB,2020-05-05,31,FALSE
ALB,2020-05-06,31,FALSE
ALB,2020-05-07,31,FALSE
ALB,2020-05-08,31,FALSE
ALB,2020-05-09,31,FALSE
ALB,2020-05-10,31,FALSE
ALB,2020-05-11,31,FALSE
ALB,2020-05-12,31,FALSE
ALB,2020-05-13,31,FALSE
ALB,2020-05-14,31,FALSE
ALB,2020-05-15,31,FALSE
ALB,2020-05-16,31,FALSE
ALB,2020-05-17,31,FALSE
ALB,2020-05-18,31,FALSE
ALB,2020-05-19,31,FALSE
ALB,2020-05-20,31,FALSE
ALB,2020-05-21,31,FALSE
ALB,2020-05-22,31,FALSE
ALB,2020-05-23,31,FALSE
ALB,2020-05-24,32,FALSE
ALB,2020-05-25,32,FALSE
ALB,2020-05-26,33,FALSE
ALB,2020-05-27,33,FALSE
ALB,2020-05-28,33,FALSE
ALB,2020-05-29,33,FALSE
ALB,2020-05-30,33,FALSE
ALB,2020-05-31,33,FALSE
ALB,2020-06-01,33,FALSE
ALB,2020-06-02,33,FALSE
ALB,2020-06-03,33,FALSE
ALB,2020-06-04,33,FALSE
ALB,2020-06-05,33,FALSE
ALB,2020-06-06,34,FALSE
ALB,2020-06-07,34,FALSE
ALB,2020-06-08,34,FALSE
ALB,2020-06-09,34,FALSE
ALB,2020-06-10,34,FALSE
ALB,2020-06-11,35,FALSE
ALB,2020-06-12,36,FALSE
ALB,2020-06-13,36,FALSE
ALB,2020-06-14,36,FALSE
ALB,2020-06-15,36,FALSE
ALB,2020-06-16,37,FALSE
ALB,2020-06-17,38,FALSE
